Category,Item,Description,Price
Chicken Main Course,Chicken Curry,—,23.36
Chicken Main Course,Chicken Masala,—,23.36
Chicken Main Course,Chicken Kadai,—,23.36
Chicken Main Course,Chicken Hyderabadi,—,23.36
Chicken Main Course,Chicken Mughlai,—,23.36
Chicken Main Course,Chicken Handi,—,23.36
Chicken Main Course,Chicken Achari,—,23.36
Chicken Main Course,Chicken Do Pyaza,—,23.36
Chicken Main Course,Chicken Palak,—,23.36
Chicken Main Course,Chicken Vindaloo,—,23.36
Chicken Main Course,Chicken Rogan Josh,—,23.36
Chicken Main Course,Chicken Jalfrezi,—,23.36
Chicken Main Course,Chicken Tawa,—,23.36
Chicken Main Course,Chicken Bhuna,—,23.36
Chicken Main Course,Chicken Korma,—,23.36
Chicken Main Course,Chicken Tikka Masala,—,25.03
Chicken Main Course,Butter Chicken,—,25.03
Chicken Main Course,Chicken Makhni,—,25.03
Chicken Main Course,Chicken Karahi,—,25.03
Chicken Main Course,Chicken Haleem,—,25.03
Mutton Main Course,Mutton Curry,—,30.04
Mutton Main Course,Mutton Masala,—,30.04
Mutton Main Course,Mutton Kadai,—,30.04
Mutton Main Course,Mutton Hyderabadi,—,30.04
Mutton Main Course,Mutton Mughlai,—,30.04
Mutton Main Course,Mutton Handi,—,30.04
Mutton Main Course,Mutton Achari,—,30.04
Mutton Main Course,Mutton Do Pyaza,—,30.04
Mutton Main Course,Mutton Palak,—,30.04
Mutton Main Course,Mutton Vindaloo,—,30.04
Mutton Main Course,Mutton Rogan Josh,—,30.04
Mutton Main Course,Mutton Jalfrezi,—,30.04
Mutton Main Course,Mutton Tawa,—,30.04
Mutton Main Course,Mutton Bhuna,—,30.04
Mutton Main Course,Mutton Korma,—,30.04
Grilled Dishes,Chicken Tikka,1/2 chicken cut in pieces marinated in spices cooked in tandoor,26.70
Grilled Dishes,Mutton Seekh Kabab,—,30.04
Biryani and Rice,Chicken Dum Biryani,Basmati rice cooked with chicken and spices.,28.37
Biryani and Rice,Mutton Biryani,Basmati rice cooked with goat meat with home spices.,33.40
Biryani and Rice,Plain Basmati Rice,—,8.33
Biryani and Rice,Jeera Rice,Rice with cumin seeds,11.67
Biryani and Rice,Chicken Boneless Biryani,—,33.40
Biryani and Rice,Veg Dum Biryani,—,25.03
"Bread, Naan & Roti",Plain Naan,—,3.34
"Bread, Naan & Roti",Butter Naan,—,4.17
"Bread, Naan & Roti",Garlic Naan,—,5.01
Drinks,12 oz. Canned Soda,Choice of flavor.,4.48+
Drinks,Bottled Water,—,1.67
Drinks,Mango Lassi,—,10.00
Drinks,Tea / Chai,—,3.34
Chicken Entrée,Chicken 65,Spicy fried chicken.,23.36
Chicken Entrée,Chicken Manchurian,Deep fried with spicy sauce.,23.36
Chicken Entrée,Chilli Chicken,—,23.36
Chicken Entrée,Ginger Chicken,—,23.36
Chicken Entrée,Chilli Garlic Chicken,—,23.36
Fish Entrée,Chilli Fish,—,26.70
Fish Entrée,Fish Fry,—,26.70
Chinese Fried Rice,Chicken Fried Rice,—,28.37
Chinese Fried Rice,Veg Fried Rice,—,26.70
Chinese Fried Rice,Shrimp Fried Rice,—,31.71
Chinese Fried Rice,Chicken Fried Rice (with Egg),We add 3 eggs,41.75
Chinese Fried Rice,Egg Fried Rice,We add 3 eggs,33.38
Chinese Noodles,Chicken Noodles,—,28.37
Chinese Noodles,Veg Noodles,—,26.70
Chinese Noodles,Shrimp Noodles,—,31.71
Chinese Noodles,Chicken Noodles (with Egg),We add 3 eggs,41.75
Chinese Noodles,Egg Noodles,We add 3 eggs,33.38
Vegetarian,Daal Fry,—,11.67
Vegetarian,Mix Veg Curry,—,16.68
Vegetarian,Paneer Tikka Masala,—,25.03
Vegetarian,Paneer Makhni (Butter),—,25.03
Special Item Every Week,Mutton Mandi (Available only on Tuesday),6.00 P.M. to 12.00 A.M.,33.38
Special Item Every Week,Chicken Mandi (Available only on Wednesday),6.00 P.M. to 12.00 A.M.,30.04
Sweet,Double ka Meetha,—,10.02
Sweet,Kaddu Kheer,—,10.02
Sweet,Gulab Jamun,—,10.02
House of Biryani Special,Goat Haleem,—,21.69
